iter	Logloss
0	0.6318854659
1	0.585166455
2	0.5596283021
3	0.5412960025
4	0.5328643551
5	0.5237495162
6	0.5169597015
7	0.5133350498
8	0.5110102079
9	0.5072482126
10	0.5064443466
11	0.5061781658
12	0.5052626536
13	0.5048948968
14	0.5043789239
15	0.5042014598
16	0.5034421714
17	0.5027486878
18	0.5024956929
19	0.501966315
20	0.501724077
21	0.5010754221
22	0.5007944578
23	0.5002825328
24	0.5001059721
25	0.4996129544
26	0.4994033436
27	0.4990988923
28	0.4988216292
29	0.4979820969
30	0.4977292762
31	0.4976571804
32	0.4975429985
33	0.4972229091
34	0.4970073814
35	0.4966776571
36	0.496376459
37	0.4961859993
38	0.4957465686
39	0.4954434774
40	0.4951586034
41	0.4949057594
42	0.4946638014
43	0.4943267939
44	0.4940982244
45	0.4937450311
46	0.4922224033
47	0.4917555657
48	0.4914198301
49	0.4908422827
50	0.4905961741
51	0.490201565
52	0.4898714832
53	0.4897316783
54	0.4894167605
55	0.4892502887
56	0.4891426953
57	0.4889720555
58	0.4887796816
59	0.4886495715
60	0.4884675861
61	0.4882266547
62	0.4878276468
63	0.4876193377
64	0.487441076
65	0.4871198684
66	0.4868745478
67	0.4865800156
68	0.4863002224
69	0.4861325505
70	0.4859964761
71	0.4857411065
72	0.4856067451
73	0.4851569113
74	0.4850041898
75	0.4847332919
76	0.4845622912
77	0.484262095
78	0.4838821185
79	0.48357744
80	0.4832775516
81	0.4830930793
82	0.4828959001
83	0.482889034
84	0.4826022148
85	0.4822837032
86	0.4820551002
87	0.4819191266
88	0.4816028636
89	0.4812778347
90	0.4808513898
91	0.4806395644
92	0.4804118728
93	0.4800802711
94	0.4798965806
95	0.4796779509
96	0.47939254
97	0.4792289413
98	0.4788254776
99	0.4785888272
100	0.4782882375
101	0.4780410138
102	0.4777211885
103	0.4774101856
104	0.4771244595
105	0.4769490098
106	0.4765817232
107	0.4762904873
108	0.4760179628
109	0.4756291495
110	0.4753851281
111	0.4751532679
112	0.4750167868
113	0.4747956137
114	0.4744887966
115	0.4741509293
116	0.4737642459
117	0.4721871379
118	0.4719567184
119	0.4716555304
120	0.4713623286
121	0.471021712
122	0.470679148
123	0.4704636349
124	0.4701480084
125	0.4696516144
126	0.4694267584
127	0.4691743033
128	0.4688432558
129	0.468265243
130	0.4681007549
131	0.4679416785
132	0.4677136901
133	0.4674709065
134	0.4671547424
135	0.4669653879
136	0.4667408677
137	0.4664874925
138	0.4663116545
139	0.4661611965
140	0.4658324012
141	0.4655606679
142	0.4653744199
143	0.4651194324
144	0.4647292507
145	0.4644619739
146	0.464376146
147	0.4641946713
148	0.4640516219
149	0.4639191993
150	0.4636923979
151	0.4634467763
152	0.4632307071
153	0.4629574299
154	0.4628211981
155	0.4624418719
156	0.462119626
157	0.4617647316
158	0.4614448144
159	0.4611232273
160	0.4610449244
161	0.4607405967
162	0.4605617783
163	0.460326536
164	0.4600992308
165	0.4598221297
166	0.4596943387
167	0.4592981677
168	0.4590236935
169	0.458795095
170	0.4586080788
171	0.4583639634
172	0.4581592241
173	0.4579052276
174	0.4576766909
175	0.4574078185
176	0.457186207
177	0.4570162829
178	0.4567195239
179	0.4565922112
180	0.4563858404
181	0.4561211996
182	0.4558736693
183	0.4555692646
184	0.4553545611
185	0.4550801957
186	0.4549225661
187	0.4546006074
188	0.4542085349
189	0.4539663477
190	0.4537341281
191	0.4532645866
192	0.4530895594
193	0.4529186826
194	0.4527554397
195	0.4524248676
196	0.4522700388
197	0.4520998108
198	0.451894735
199	0.451459929
